006.Export Value per Exporter: Mean,011.Export Value per Entrant: Mean,016.Export Value per Exiter: Mean,021.Export Value per Surviving Entrant: Mean,026.Export Value per Incumbent: Mean,031.Growth of Incumbents: Mean,036.Growth of Surviving Entrants: Mean,045.Number of HS6 Products per Exporter: Mean,048.Number of Destinations per Exporter: Mean,051.Number of Exporters per HS6 Product: Mean,054.Number of Exporters per Destination: Mean,057.Destination Entry Rate of Incumbents: Mean,060.Destination Entry Rate of Surviving Entrants: Mean,063.Share of New Destinations in TEV of Incumbents: Mean,066.Share of New Destinations in TEV of Surviving Entrants: Mean,069.Destination Exit Rate of Incumbents: Mean,072.Destination Survival Rate of 2-year Incumbents: Mean,081.Product Entry Rate of Incumbents: Mean,084.Product Entry Rate of Surviving Entrants: Mean,087.Share of New Products in TEV of Incumbents: Mean,090.Share of New Products in TEV of Surviving Entrants: Mean,093.Product Exit Rate of Incumbents: Mean,096.Product Survival Rate of 2-year Incumbents: Mean,001.Number of Exporters,002.Number of Entrants,003.Number of Exiters,004.Number of Surviving Entrants,005.Number of Incumbents,041.Herfindahl-Hirschman Index,075.Firm Entry Rate,076.Firm Exit Rate,077.Entrant 1st Year Survival Rate,078.Share of Entrants in TEV (Total Export Value),079.Entrant 2nd Year Survival Rate,080.Entrant 3rd Year Survival Rate,Country Name,Industry Name,Year
48566.99219,..,..,..,..,..,..,2.277777672,1.166666627,2.928571463,2.625,..,..,..,..,..,..,..,..,..,..,..,..,18,..,..,..,..,0.778297782,..,..,..,..,..,..,Georgia,252:Manufacture of plastics products,2003 [YR2003]
20505.0957,8315.858398,3991.243652,12277.9248,49759.26563,0.844387233,-0.388415992,1.911764741,1.088235259,3.095238209,2.642857075,0.200000003,..,0.200000003,..,0.200000003,0,0.230952382,..,0.212144271,..,0.292063504,0.333333343,34,24,8,7,10,0.299412072,0.70588237,0.444444448,0.291666657,0.286271155,0.125,0.041666668,Georgia,252:Manufacture of plastics products,2004 [YR2004]
13468.93848,2920.538574,8014.638184,4218.32959,33686.70703,-0.213379323,1.102645516,1.742857099,1.171428561,2.541666746,2.928571463,0.458333343,0.571428597,0.429775119,0.571428597,0.541666687,0,0.388888896,0.476190478,0.390803993,0.491113126,0.400793642,0.375,35,23,22,6,12,0.222077385,0.657142878,0.647058845,0.260869563,0.142491624,0.173913047,0.130434781,Georgia,252:Manufacture of plastics products,2005 [YR2005]
22430.2832,9079.385742,2212.075195,13214.08203,70698.90625,0.290845573,0.534241974,1.75,1.233333349,3.181818247,3.363636255,0.358974367,0.277777791,0.253387451,0.191121027,0.320512831,0,0.461538464,0.416666657,0.35544163,0.342966884,0.431623936,0.13333334,60,47,22,17,13,0.22889775,0.783333361,0.628571451,0.361702114,0.317079633,0.127659574,0.08510638,Georgia,252:Manufacture of plastics products,2006 [YR2006]
25732.83008,2452.052979,6370.099609,5673.199707,67638.22656,-0.0964837,0.556782305,1.757142901,1.171428561,4.241379261,3.279999971,0.346666664,0.362745106,0.34417814,0.33283034,0.366666675,0.100000001,0.534222245,0.645098031,0.468590796,0.569230616,0.531666696,0.447916657,70,45,35,9,25,0.319997728,0.642857134,0.583333313,0.200000003,0.06125715,0.155555561,0.13333334,Georgia,252:Manufacture of plastics products,2007 [YR2007]
12923.56055,9487.68457,28166.08984,7049.54248,23885.63867,0.03813437,0.005737626,1.886363626,1.238636374,5.533333302,3.40625,0.341269851,0.333333343,0.385466486,0.38749519,0.309523821,0.571428597,0.476851851,0.598765433,0.401106536,0.384408891,0.371693134,0.445454538,88,67,49,23,21,0.129873365,0.761363626,0.699999988,0.343283594,0.55894649,0.164179102,0.119402982,Georgia,252:Manufacture of plastics products,2008 [YR2008]
11100.57031,4259.553223,10394.23047,2340.205322,22502.26563,0.411115766,1.115512729,2.048076868,1.25,6.264705658,3.714285612,0.373931617,0.376811594,0.315747708,0.358249158,0.329059839,0.214285716,0.471184373,0.48550725,0.390568435,0.430814713,0.405982912,0.364166677,104,65,49,25,39,0.130457848,0.625,0.556818187,0.384615391,0.23982738,0.261538476,0.184615389,Georgia,252:Manufacture of plastics products,2009 [YR2009]
9712.814453,8780.939453,6406.996582,11777.81152,11466.93164,0.001645972,-0.271479815,2.074829817,1.333333373,8.970588684,4.454545498,0.304201692,0.200000003,0.2748532,0.184333697,0.28594771,0.106666669,0.45786649,0.377142847,0.427613318,0.325009257,0.398366004,0.432000011,147,96,53,24,51,0.089236334,0.653061211,0.509615362,0.25,0.590404689,0.104166664,..,Georgia,252:Manufacture of plastics products,2010 [YR2010]
17632.32422,15156.56543,7194.1875,31386.39648,20974.59766,0.346888155,0.127361417,2.156028271,1.241134763,7.794871807,4.375,0.230555549,0.1875,0.173909515,0.168384537,0.249841273,0.433333337,0.385833323,0.333333343,0.379155904,0.374459624,0.354464293,0.491228074,141,81,87,18,60,0.06157184,0.574468076,0.591836751,0.222222224,0.493806899,..,..,Georgia,252:Manufacture of plastics products,2011 [YR2011]
37981.69922,25306.12891,11324.81738,..,60750.78125,-0.230219156,..,2.132450342,1.258278131,8.050000191,6.129032135,0.195679009,0.277777791,0.148627937,0.218987688,0.186728403,..,0.395370364,0.437037051,0.325879186,0.43849799,0.420473248,..,151,97,87,..,54,0.123316303,0.642384112,0.617021263,..,0.428002328,..,..,Georgia,252:Manufacture of plastics products,2012 [YR2012]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,252:Manufacture of plastics products,2013 [YR2013]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,252:Manufacture of plastics products,2014 [YR2014]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,271:Manufacture of basic iron and steel,1997 [YR1997]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,271:Manufacture of basic iron and steel,1998 [YR1998]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,271:Manufacture of basic iron and steel,1999 [YR1999]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,271:Manufacture of basic iron and steel,2000 [YR2000]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,271:Manufacture of basic iron and steel,2001 [YR2001]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,271:Manufacture of basic iron and steel,2002 [YR2002]
717940.4375,..,..,..,..,..,..,2.414634228,1.707317114,2.414634228,3.888888836,..,..,..,..,..,..,..,..,..,..,..,..,41,..,..,..,..,0.751208186,..,..,..,..,..,..,Georgia,271:Manufacture of basic iron and steel,2003 [YR2003]
1223068.25,70842.3125,51036.46875,109290.5078,2695357,0.389951646,-0.200722694,2.219512224,1.902438998,1.895833373,3.25,0.45767197,..,0.474865466,..,0.361111104,0.6875,0.441402107,..,0.34336257,..,0.490740746,0.416666657,41,23,23,9,18,0.711440861,0.560975611,0.560975611,0.391304344,0.032492712,0.130434781,0.086956523,Georgia,271:Manufacture of basic iron and steel,2004 [YR2004]
2112031.25,60284.97266,59232.65625,235558.5,4379750.5,-0.159018159,0.210717767,2.275000095,1.774999976,2.022222281,2.535714388,0.226973683,0.333333343,0.159403563,0.305009842,0.272243112,0.316666663,0.407894731,0.490740746,0.421472579,0.462825954,0.320426077,0.5,40,21,22,5,19,0.891884387,0.524999976,0.536585391,0.238095239,0.014985391,0.142857149,0.095238097,Georgia,271:Manufacture of basic iron and steel,2005 [YR2005]
2659237.75,179691.8125,81370.28906,583204.9375,6378556.5,0.563566923,-0.517968595,2.285714388,1.971428514,1.739130378,2.653846264,0.351190478,0.266666681,0.323882669,0.242937237,0.322916657,0.699999988,0.26408729,0.204999998,0.183331028,0.088592671,0.364682555,0.300000012,35,21,26,6,14,0.819396615,0.600000024,0.649999976,0.285714298,0.040543608,0.095238097,0.047619049,Georgia,271:Manufacture of basic iron and steel,2006 [YR2006]
3313991.5,4335713.5,21037.09766,12508205,929972.75,-0.753804147,0.713127315,1.820000052,1.600000024,1.978260875,3.478260756,0.205555558,0.416666657,0.188464642,0.348394424,0.305555552,0.833333313,0.361111104,0.583333313,0.381777883,0.622627974,0.51444447,0.666666687,50,35,20,12,15,0.775501668,0.699999988,0.571428597,0.342857152,0.915813982,0.22857143,0.142857149,Georgia,271:Manufacture of basic iron and steel,2007 [YR2007]
6501465,622515.6875,151540.9219,2470326.75,14546344,0.229877189,-0.946716607,1.733333349,1.955555558,2.294117689,3.384615421,0.295739353,0.378968239,0.249929667,0.332784206,0.173444971,0.716666698,0.426315784,0.550000012,0.348494649,0.466572046,0.332080215,0.041666668,45,26,31,6,19,0.623587668,0.577777803,0.620000005,0.230769232,0.05532226,0.03846154,0.03846154,Georgia,271:Manufacture of basic iron and steel,2008 [YR2008]
2422004.75,204338.9531,347893.2188,540320.0625,6413803,-0.939885378,0.926099837,1.517857194,1.660714269,2.361111164,3.875,0.183571428,0.083333336,0.12447729,0.089572608,0.221666664,0.354166687,0.292142868,0.283333331,0.273401111,0.228696689,0.344999999,0,56,36,25,12,20,0.530375421,0.642857134,0.555555582,0.333333343,0.054236371,0.138888896,0.055555556,Georgia,271:Manufacture of basic iron and steel,2009 [YR2009]
5176404,183993.9219,85352.55469,652571.5625,14448023,0.590379,-0.248801649,1.633333325,1.899999976,1.960000038,3.352941275,0.422222227,0.447222233,0.345110595,0.374591708,0.412471652,0.452083349,0.554761887,0.645833313,0.515985847,0.64362514,0.527210891,0.666666687,60,39,35,10,21,0.468346089,0.649999976,0.625,0.256410271,0.023104077,0.128205135,..,Georgia,271:Manufacture of basic iron and steel,2010 [YR2010]
4865208,115685.5391,32954.76563,113358.7031,15268924,-0.433003336,1.853566766,1.447761178,1.716417909,2.204545498,3.285714388,0.174245596,0.173333332,0.074034102,0.109789215,0.270899475,0.638888896,0.189153433,0.172222227,0.144526765,0.184577867,0.244444445,0.333333343,67,46,39,18,21,0.381098211,0.686567187,0.649999976,0.391304344,0.016325282,..,..,Georgia,271:Manufacture of basic iron and steel,2011 [YR2011]
5589928.5,942306.4375,526990.375,..,10558076,1.04414022,..,2.016666651,2.083333254,2.240740776,3.676470518,0.295977026,0.384259254,0.289972454,0.423441768,0.230289251,..,0.270114928,0.361111104,0.252118766,0.350537926,0.224137932,..,60,31,38,..,29,0.359700143,0.516666651,0.567164183,..,0.087095626,..,..,Georgia,271:Manufacture of basic iron and steel,2012 [YR2012]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,271:Manufacture of basic iron and steel,2013 [YR2013]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,271:Manufacture of basic iron and steel,2014 [YR2014]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,291:Manufacture of general purpose machinery,1997 [YR1997]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,291:Manufacture of general purpose machinery,1998 [YR1998]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,291:Manufacture of general purpose machinery,1999 [YR1999]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,291:Manufacture of general purpose machinery,2000 [YR2000]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,291:Manufacture of general purpose machinery,2001 [YR2001]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,291:Manufacture of general purpose machinery,2002 [YR2002]
24674.00195,..,..,..,..,..,..,2.094594479,1.14864862,2.348484755,5.3125,..,..,..,..,..,..,..,..,..,..,..,..,74,..,..,..,..,0.104827635,..,..,..,..,..,..,Georgia,291:Manufacture of general purpose machinery,2003 [YR2003]
55409.49219,19253.32813,11092.36621,17868.05273,124829.3281,0.17146869,0.73083514,2.397260189,1.246575356,2.5,4.136363506,0.312000006,..,0.241603166,..,0.233333334,0.349999994,0.699647069,..,0.659587801,..,0.661000013,0.298611104,73,48,49,12,25,0.255483896,0.657534242,0.662162185,0.25,0.228475675,0.041666668,0.020833334,Georgia,291:Manufacture of general purpose machinery,2004 [YR2004]
117568.8047,34843.40234,23877.0293,95290.64063,256697.875,0.34273532,1.28333199,2.288135529,1.355932236,2.109375,3.636363745,0.369834721,0.541666687,0.352227211,0.579571784,0.478787869,0.523809552,0.648484826,0.722222209,0.636377335,0.747972429,0.739720762,0.416666687,59,37,51,9,22,0.436358124,0.627118647,0.698630154,0.243243247,0.185856685,0.189189196,0.081081077,Georgia,291:Manufacture of general purpose machinery,2005 [YR2005]
143855.1719,75763.94531,19819.84766,34296.88281,392187.9063,0.205857143,0.769966781,2.67088604,1.316455722,2.971831083,4,0.304901958,0.418518513,0.295324415,0.415889412,0.310606062,0.483333349,0.487670839,0.587822676,0.46567443,0.552086234,0.465966403,0.458594501,79,62,42,14,17,0.237736642,0.784810126,0.711864412,0.225806445,0.413334519,0.17741935,0.080645159,Georgia,291:Manufacture of general purpose machinery,2006 [YR2006]
72530.89844,62739.16797,81132.84375,75914.07031,97597.71094,0.355739295,-0.050442349,2.57303381,1.325842738,2.792682886,3.933333397,0.286666662,0.285714298,0.275497973,0.285714298,0.282000005,0.322916657,0.560909629,0.694557846,0.528983712,0.623174787,0.603979826,0.308673471,89,64,54,11,25,0.168762207,0.719101131,0.683544278,0.171875,0.622021914,0.09375,0.046875,Georgia,291:Manufacture of general purpose machinery,2007 [YR2007]
50529.67969,31502.4375,68598.9375,23655.47656,98777.32813,-0.723906696,0.985863864,2.222222328,1.191919208,2.97297287,3.933333397,0.330782324,0.393939406,0.303017855,0.38329193,0.380952388,0.380952388,0.625595212,0.688636363,0.550502181,0.581898689,0.60238868,0.129120886,99,71,61,15,28,0.104545809,0.717171729,0.685393274,0.211267605,0.447116584,0.028169014,0.014084507,Georgia,291:Manufacture of general purpose machinery,2008 [YR2008]
48670.92969,39866.98828,32060.17578,21356.67969,66278.8125,0.699869215,0.743056357,2.34375,1.21875,2.710843325,3.900000095,0.331845224,0.400000006,0.356762677,0.429140449,0.316220224,0.699999988,0.633152962,0.611111104,0.601433754,0.646638334,0.592968762,0.33268398,96,64,67,13,32,0.110355198,0.666666687,0.676767647,0.203125,0.546075344,0.125,0.03125,Georgia,291:Manufacture of general purpose machinery,2009 [YR2009]
60669.34375,58520.59766,40089.58984,119304.375,68786.82031,0.168354645,-0.232867241,2.248062134,1.263565898,3.295454502,4.179487228,0.294753075,0.375,0.279952466,0.380704165,0.269841284,0.291666657,0.508572519,0.56410259,0.42909351,0.533981383,0.498920411,0.210636988,129,102,69,27,27,0.099279657,0.790697694,0.71875,0.264705896,0.762693286,0.137254909,..,Georgia,291:Manufacture of general purpose machinery,2010 [YR2010]
72413.94531,31046.47656,36851.92188,58051.22656,158746.0469,-0.203683704,1.039472222,2.450704336,1.232394338,3.954545498,4.268292904,0.4085145,0.42592594,0.401289552,0.434470206,0.418115944,0.306250006,0.477665454,0.438712537,0.402152926,0.3755036,0.500129402,0.381249994,142,96,83,16,46,0.226678252,0.676056325,0.643410861,0.166666672,0.289849788,..,..,Georgia,291:Manufacture of general purpose machinery,2011 [YR2011]
73353.89063,34690.39844,27180.33008,..,174256.1563,0.513907671,..,3.013513565,1.222972989,4.505050659,5.65625,0.495934963,0.520833313,0.469335228,0.557193577,0.447154462,..,0.583064854,0.759943187,0.55473423,0.763469398,0.554169238,..,148,107,101,..,41,0.094351687,0.722972989,0.711267591,..,0.341907203,..,..,Georgia,291:Manufacture of general purpose machinery,2012 [YR2012]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,291:Manufacture of general purpose machinery,2013 [YR2013]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,291:Manufacture of general purpose machinery,2014 [YR2014]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,341:Manufacture of motor vehicles,1997 [YR1997]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,341:Manufacture of motor vehicles,1998 [YR1998]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,341:Manufacture of motor vehicles,1999 [YR1999]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,341:Manufacture of motor vehicles,2000 [YR2000]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,341:Manufacture of motor vehicles,2001 [YR2001]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,341:Manufacture of motor vehicles,2002 [YR2002]
80695.46875,..,..,..,..,..,..,1.178571463,1,3,3.5,..,..,..,..,..,..,..,..,..,..,..,..,28,..,..,..,..,0.088519476,..,..,..,..,..,..,Georgia,341:Manufacture of motor vehicles,2003 [YR2003]
76702.97656,58303.55859,85450.17188,62885.29297,200899.0469,1.359028935,0.072553635,1.193548441,1.064516187,3.363636255,3.666666746,0.25,..,0.25,..,0.25,0.5,0.375,..,0.480850518,..,0.5,0.75,31,27,24,6,4,0.176395431,0.870967746,0.857142866,0.222222224,0.662041008,0.074074075,0.037037037,Georgia,341:Manufacture of motor vehicles,2004 [YR2004]
8027.29541,7429.758789,59461.89844,9288.102539,165627.5625,0.073486328,0.371467322,1.172332406,1.349858403,130.6842041,259.9090881,0.145833343,0.083333336,0.098456658,0.049479168,0.125,0,0.46875,0.5,0.465507507,0.5,0.541666687,0.833333373,2118,2110,23,1218,8,0.007195901,0.996222854,0.741935492,0.577251196,0.922065973,0.01042654,0.000947867,Georgia,341:Manufacture of motor vehicles,2005 [YR2005]
21554.98633,31726.41797,4928.151367,2041193,15132.24023,0.370785981,0.243245542,1.164156675,1.391064286,110.4285736,173.1875,0.225948676,0.225027367,0.197992548,0.196935356,0.221676216,0.527777791,0.141072884,0.140462503,0.12538518,0.124850109,0.161889166,0.100000001,1992,771,897,8,1221,0.079618379,0.387048185,0.423512757,0.010376135,0.569689631,0.002594034,0.002594034,Georgia,341:Manufacture of motor vehicles,2006 [YR2006]
455737.5938,19101.70898,12669.84766,158410.3281,2024897.875,-0.719583273,1.351113439,1.142857194,1.108843565,10.5,10.86666679,0.268229157,0.34375,0.220101744,0.231784493,0.393750012,0.444444448,0.333333343,0.19583334,0.32202509,0.128215224,0.374479175,0.666666687,147,115,1960,3,32,0.428293288,0.78231293,0.983935714,0.026086956,0.03278973,0,0,Georgia,341:Manufacture of motor vehicles,2007 [YR2007]
1010298.625,38051.30859,64628.11719,250484.6875,13649514,1.03026104,-0.746366799,1.1875,1.160714269,8.3125,6.842105389,0.286931813,0,0.148279741,0,0.239583328,0.916666627,0.373214275,0.5,0.251415551,0.33530587,0.291666657,0.75,112,104,139,8,8,0.545382798,0.928571403,0.945578218,0.07692308,0.034973182,0.028846154,0.028846154,Georgia,341:Manufacture of motor vehicles,2008 [YR2008]
1158412.75,61852.29297,76038.97656,98811.78906,7518463,-0.641546488,1.496474028,1.308823586,1.397058845,4.6842103,3.958333254,0.598214269,0.625,0.522458076,0.634118795,0.518181801,0.120000005,0.378571421,0.4375,0.379061013,0.471007675,0.378571421,0.333333343,68,58,102,9,10,0.505628169,0.852941155,0.910714269,0.155172408,0.045541946,0.086206898,0.05172414,Georgia,341:Manufacture of motor vehicles,2009 [YR2009]
708644.4375,70557.875,63127.03516,126044.1953,6542579,1.547634482,0.374541759,1.352112651,1.514084458,12,9.772727013,0.49505496,0.407407403,0.395312071,0.322089732,0.341836751,0.676666677,0.443877548,0.444444448,0.360634297,0.446514606,0.316326529,0.722222209,142,128,54,48,14,0.36300385,0.901408434,0.79411763,0.375,0.089750886,0.1953125,..,Georgia,341:Manufacture of motor vehicles,2010 [YR2010]
451034.375,56726.66016,40726.57813,136229.8438,2442968.25,0.384188473,0.246248856,1.381766438,1.455840468,23.09523773,19.65384674,0.333112299,0.317708343,0.292338818,0.311479747,0.227939874,0.329166681,0.388888896,0.398726851,0.289214224,0.320847362,0.226190478,0.415873021,351,293,84,65,58,0.227053866,0.834757864,0.591549277,0.221843004,0.104987614,..,..,Georgia,341:Manufacture of motor vehicles,2011 [YR2011]
1146117.75,453944.8438,43782.81641,..,2537526.75,-0.033322386,..,1.555932164,1.616949201,20.86363602,14.45454502,0.413613528,0.447435886,0.320938051,0.351031393,0.385138661,..,0.300595254,0.347051293,0.254879832,0.295387536,0.301384836,..,295,197,253,..,98,0.282368064,0.667796612,0.720797718,..,0.264495373,..,..,Georgia,341:Manufacture of motor vehicles,2012 [YR2012]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,341:Manufacture of motor vehicles,2013 [YR2013]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Georgia,341:Manufacture of motor vehicles,2014 [YR2014]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",1997 [YR1997]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",1998 [YR1998]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",1999 [YR1999]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2000 [YR2000]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2001 [YR2001]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2002 [YR2002]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2003 [YR2003]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2004 [YR2004]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2005 [YR2005]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2006 [YR2006]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2007 [YR2007]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2008 [YR2008]
5332177,..,..,..,..,..,..,5.970976353,5.433890343,94.73023224,105.9142838,..,..,..,..,..,..,..,..,..,..,..,..,3411,..,..,..,..,0.008906609,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2009 [YR2009]
5283525.5,942817.6875,973460.6875,1192856.625,7004091.5,0.138418183,0.221885815,6.06262064,5.636965752,102.218605,118.1156082,0.236267433,..,0.132156223,..,0.200612918,0.518215418,0.197188124,..,0.113726631,..,0.181672305,0.49977693,3625,1029,815,594,2596,0.008785884,0.283862054,0.238932863,0.577259481,0.050653707,0.399416924,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2010 [YR2010]
5995585.5,1618103.125,1353775.375,2572974.75,7831619,0.066383123,0.219012231,6.065023422,5.637650967,107.5906982,131.1097565,0.223114848,0.276438266,0.121246584,0.199806705,0.208630159,0.467598021,0.185697943,0.229625806,0.103201672,0.171021163,0.186325535,0.480496049,3814,1127,938,665,2687,0.0107396,0.295490295,0.258758634,0.590062141,0.07974764,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2011 [YR2011]
5769162,1463329.625,1786656.875,..,7413044,-0.033218086,..,5.984901905,5.520634174,113.7990417,123.9491501,0.219735786,..,0.128377467,..,0.221254334,..,0.196271554,..,0.11156141,..,0.189925373,..,3974,1098,938,..,2876,0.012179433,0.27629593,0.245936021,..,0.070081577,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2012 [YR2012]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2013 [YR2013]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2014 [YR2014]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,154:Manufacture of other food products,1997 [YR1997]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Germany,154:Manufacture of other food products,1998 [YR1998]
